,title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
2765,"FTARRI DOUBTMUSIC FESTIVAL w/ $, DoraVideo, Kazuo Imai Trio, Koichi Makigami,more",2010-09-18,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,4000,4500
2503,"FTARRI DOUBTMUSIC FESTIVAL w/ Junji Hirose, Chie Mukai+ Tetragrammaton, SEIJAKU, more",2010-09-20,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,4000,4500
2772,"FTARRI DOUBTMUSIC FESTIVALw/ Active Recovering Music, Eddie Prevost + Sachiko M, more",2010-09-19,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,4000,4500
4358,FTARRI FESTIVAL 2015 (Day 1),2015-11-21,Festival,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,"4,000yen +drink","4,500yen +drink"
4389,FTARRI FESTIVAL 2015 (Day 2),2015-11-22,Festival,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,"4,000yen + drink","4,500yen + drink"
2472,FUJI ROCK FESTIVAL,2010-07-30,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2474,FUJI ROCK FESTIVAL,2010-07-31,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2480,FUJI ROCK FESTIVAL,2010-08-01,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
412,FUJI ROCK FESTIVAL,2011-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
416,FUJI ROCK FESTIVAL,2011-07-30,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
422,FUJI ROCK FESTIVAL,2011-07-31,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
9765,FUJI ROCK FESTIVAL,2012-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
9769,FUJI ROCK FESTIVAL,2012-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
9778,FUJI ROCK FESTIVAL,2012-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
8104,FUJI ROCK FESTIVAL,2013-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 17800, 3 days 42800",
8106,FUJI ROCK FESTIVAL,2013-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 17800, 3 days 42800",
8114,FUJI ROCK FESTIVAL,2013-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 17800, 3 days 42800",
5579,FUJI ROCK FESTIVAL,2014-07-25,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
5585,FUJI ROCK FESTIVAL,2014-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
5590,FUJI ROCK FESTIVAL,2014-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
3524,FUJI ROCK FESTIVAL,2015-07-24,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
3530,FUJI ROCK FESTIVAL,2015-07-25,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
3538,FUJI ROCK FESTIVAL,2015-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1941,FUJI ROCK FESTIVAL,2016-07-22,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1951,FUJI ROCK FESTIVAL,2016-07-23,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1961,FUJI ROCK FESTIVAL,2016-07-24,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
4625,FUJI ROCK FESTIVAL,2017-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 19000, 2 days 36000, 3 days 43000",
4634,FUJI ROCK FESTIVAL,2017-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 19000, 2 days 36000, 3 days 43000",
4649,FUJI ROCK FESTIVAL,2017-07-30,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,"1 day 19000, 2 days 36000, 3 days 43000",
2231,FUJI ROCK FESTIVAL,2018-07-27,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
1655,FUJI ROCK FESTIVAL,2018-07-28,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2267,FUJI ROCK FESTIVAL,2018-07-29,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
4582,"FUJI ROCK FESTIVAL w/ Franz Ferdinand, Public Enemy, Bad Brains, Dinosaur Jr., more",2009-07-25,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
4581,"FUJI ROCK FESTIVAL w/ Oasis, Patti Smith, Lily Allen, Tortoise, Peaches, more",2009-07-24,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
