title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"Incapacitants + Doravideo+ KAIRAI BUNCH, Takahiro Kawaguchi + Masahide Tokunaga, more",2014-05-25,Experimental,Pool,http://mdel.co.jp/pool/,"Silver building B2F, Sakuradai 1-7-7, Nerima-ku",http://mdel.co.jp/pool/map.html,Sakuradai,Sakuradai,,2000yen
Imperial State Electric,2014-05-26,Rock,Club Quattro,http://www.club-quattro.com,"5F Parco Quattro, 32-13 Udagawa-cho",http://www.club-quattro.com/shibuya/access/,Shibuya,Shibuya,5000,
"短波兄弟, 現人, Aquiles Hadjis, Rene Van Munster, the Fists of Danny Pike",2014-05-25,Chanson,Gari Gari,http://www.cinemabokan.com,"Tobita Bldg B1, Daizawa 2-45-9 , Setagaya-ku",,Ikenoue,Ikenoue,1000¥,1000¥
"Sonotanotanpenz, Takeshi Fukudome, Yurika Tada",2014-05-26,Mixed Genre,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,1500yen＋1d (500yen)
"Belvedere, Secret Guests, Misled Balds",2014-05-26,Punk,Cyclone,http://www.cyclone1997.com,B2 13-16 Udagawa-cho Shibuya-ku,http://www.cyclone1997.com/map.html,Shibuya,Shibuya,5000JPY,5500JPY
"Belvedere, Engrave, Cleave",2014-05-27,Punk,Garret,http://www.cyclone1997.com/garret/garret_home.html,"Shibuya-ku, Udagawacho 13-16, Kokusai Building B1",http://www.cyclone1997.com/garret/garret_map.html,Shibuya,Shibuya,5000JPY,5500JPY
"MIchel Henritzi + à qui avec Gabriel, Mickey Guitar, Junko & Sachiko",2014-05-27,Experimental,Yellow Vision,http://www.yellowvision.jp/,"Asagaya 2-chome Bldg B1, 2-2-2 Asagaya-kita",http://www.yellowvision.jp/Access.html,Asagaya,Asagaya,1.500yen,1.500yen
SOUNDROOM,2014-05-27,Experimental,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,1000,1500
"CHUCK LOEBS SILHOUETTE BAND with PETER ERSKINE, JANEK GWIZDALA & MATT KING",2014-05-28,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥8,000","￥8,000"
"Servals, DJs Masato Maedomari, kiichiro, Teppei Ishimaru",2014-05-29,Mixed Genre,Jicoo Floating Bar,http://www.jicoofloatingbar.com/,"Hinode port, Odaiba port",,Tokyo Bay,"Hinode, Hamamatsucho, Daimon",,2600
"Bank of Joy (UK), CANVAS, Caucasus Session, DJ TOMO (STYLE BAND TOKYO), Wizz Jones",2014-05-28,Indie,Home,http://www.toos.co.jp/home,"Gloria Miyamasuzaka III B1F, 1-10-7 Shibuya",,Shibuya,,1500,2000
Yuri Ishida / Marcos Fernandes Duo,2014-05-29,Mixed Genre,Bitches Brew,http://bitchesbrew.web.fc2.com,"3-152-1-2F Nishikanagawa, Kanagawaku, Yokohama",http://bitchesbrew.web.fc2.com/cafebar.html#map,Yokohama,Hakuraku,,2500 (1drink＋おつまみ付き)
"CHUCK LOEB'S SILHOUETTE BAND with PETER ERSKINE, JANEK GWIZDALA & MATT KING",2014-05-29,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥8,000","￥8,000"
OGRE YOU ASSHOLE,2014-05-29,Indie-Rock,Club Quattro,http://www.club-quattro.com,"5F Parco Quattro, 32-13 Udagawa-cho",http://www.club-quattro.com/shibuya/access/,Shibuya,Shibuya,3500,4000
SUZI QUATRO,2014-05-30,Rock,Blaze,http://www.shinjuku-blaze.com,"B2F 1-21-7 Kabukicho, Shinjuku",,Shinjuku,Shinjuku,,
"CHUCK LOEB'S SILHOUETTE BAND with PETER ERSKINE, JANEK GWIZDALA & MATT KING",2014-05-30,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥8,000","￥8,000"
